person_id,gr9_fall_math,gr9_fall_sci,gr9_fall_eng,gr9_fall_hist,gr9_spring_math,gr9_spring_sci,gr9_spring_eng,gr9_spring_hist,gr10_fall_math,gr10_fall_sci,gr10_fall_eng,gr10_fall_hist,gr10_spring_math,gr10_spring_sci,gr10_spring_eng,gr10_spring_hist
3299,,,D,D,D,F,D,D,F,D,A,A,A,A,,A
3300,A,D,D,D,A,A,A,C,A,A,A,A,F,D,A,A
3303,A,D,A,A,,,A,A,D,D,D,D,D,A,,A
3304,A,A,A,,,A,F,,F,A,D,D,D,F,A,A
3305,,,,D,A,D,A,A,,D,A,D,C,A,A,A
3306,A,,A,,A,A,A,,D,A,F,D,,,A,A
3308,A,,,,A,A,,A,A,A,F,A,D,D,A,A
3309,,D,D,,,A,,A,D,A,A,,A,A,,D
3310,D,A,A,D,D,F,F,F,D,A,,F,A,D,,D
3311,A,A,A,A,A,A,,A,A,,A,F,A,,A,A
3312,D,A,F,A,F,C,A,A,D,D,A,A,A,A,A,D
3313,,D,A,A,D,A,A,D,A,A,A,A,D,D,C,A
3314,A,,D,D,D,D,,A,A,,D,D,,A,A,
3318,D,C,A,F,A,D,,F,F,D,,A,C,D,A,
3319,D,A,A,F,D,A,D,A,A,,D,D,D,D,A,D
3322,,,A,A,A,D,A,A,A,D,A,F,D,,D,D
3323,,,A,C,A,D,D,A,D,A,,,D,,A,A
3325,A,D,A,A,C,A,A,A,A,A,A,A,,,A,D
3327,A,D,D,A,,,A,A,A,A,A,D,D,A,,A
3328,D,A,A,A,,D,D,,,,A,A,A,A,D,A
3330,,D,A,D,A,,A,D,,,A,D,A,A,A,A
3331,A,,D,,A,,D,A,A,,D,,A,D,A,A
3332,D,,,A,,D,A,D,D,D,A,,A,,A,A
3334,D,A,,A,A,A,D,A,,,A,D,A,,A,
3336,A,A,F,D,A,A,A,,A,A,,A,F,A,A,A
3339,A,D,A,A,D,A,C,D,,A,D,A,A,A,,
3341,D,D,A,A,A,C,A,,F,D,A,A,F,D,D,
3342,A,A,A,A,D,D,,D,A,A,D,A,D,,D,D
3345,,F,,D,,D,A,A,D,F,D,A,D,,A,A
3346,A,A,A,D,A,,C,A,D,A,D,A,D,D,A,
3348,A,A,D,D,A,,D,D,D,D,D,F,A,A,A,D
3350,A,D,,A,A,A,,D,D,C,D,D,F,F,A,A
3353,A,,D,F,A,A,A,A,,F,A,,A,A,A,
3354,D,A,F,A,A,,,D,A,A,A,A,A,A,A,A
3355,A,A,D,A,,A,D,A,A,D,A,A,A,A,F,A
3356,A,C,,F,F,A,,A,,,D,,D,D,D,
3359,A,F,A,D,F,D,A,A,A,A,D,,D,D,F,A
3362,A,,A,A,F,D,,,D,A,F,D,A,D,A,D
3364,D,A,A,,D,,D,A,A,A,A,D,A,D,,F
3366,A,A,,A,A,A,,A,A,A,D,D,A,D,A,A
3371,A,,A,C,,D,A,A,A,A,A,D,D,,D,A
3372,,,,A,A,,A,A,A,D,D,A,,D,A,A
3373,A,A,,A,A,,D,A,A,,,,,,A,D
3375,,F,,D,A,D,A,A,A,A,A,D,A,D,A,A
3376,A,A,A,D,A,A,A,,,A,F,D,,A,D,D
3377,F,D,,D,A,A,D,A,A,,,A,D,,A,A
3378,A,,A,A,D,A,A,A,,A,D,,A,F,D,F
3379,A,A,,A,A,,D,A,D,A,D,A,A,D,A,D
3380,,D,D,,D,,A,,D,A,A,D,D,,A,D
3381,A,D,,,A,A,,D,,,A,,D,,A,A
3382,,A,D,A,A,A,A,A,C,,D,A,A,A,,
3383,A,A,A,D,A,A,A,A,A,A,F,A,A,A,A,D
3390,A,A,F,,C,D,A,D,A,A,D,,A,D,A,A
3391,,,A,A,,A,D,,D,,A,A,D,,D,D
3392,,A,,,D,,,,D,A,A,D,,F,,A
3393,D,A,D,,D,A,,,D,A,A,,,D,C,F
3394,A,,A,A,D,,,A,,A,D,A,A,F,A,A
3395,D,A,D,D,D,,,D,D,A,,,,A,A,F
3396,,,A,,D,D,,A,D,F,A,A,D,,A,A
3398,A,D,,A,C,F,D,A,A,A,D,F,A,A,D,A
3401,,,A,D,A,A,D,C,A,A,D,,D,A,A,D
3402,,D,D,F,,A,A,D,A,D,C,A,,F,F,A
3404,A,D,A,D,A,A,,A,A,D,D,F,A,D,A,F
3405,A,F,D,A,D,A,D,D,D,,,A,A,A,F,D
3406,A,D,,,D,,A,,D,D,F,D,A,A,A,
3407,,,,A,A,A,D,D,A,D,A,A,A,D,A,D
3408,,F,,,,,A,A,A,A,A,,D,A,D,A
3409,,A,A,A,A,D,,D,,,A,D,A,D,,A
3410,C,F,A,,A,D,A,A,,,D,D,F,,,D
3412,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,D
3413,A,,C,F,,F,A,D,,A,A,D,,A,A,A
3416,A,A,A,A,D,,,D,D,D,A,A,A,A,A,D
3417,,A,A,D,A,,A,D,A,A,D,A,,D,D,
3419,,,,A,,A,A,A,A,,A,A,A,D,A,D
3420,A,A,A,C,F,A,D,A,,C,A,D,A,,A,D
3424,,A,D,A,A,D,,A,A,D,A,A,A,,D,D
3426,A,,D,A,A,F,,,A,A,A,D,F,A,,A
3427,A,A,A,A,A,A,A,,,A,D,,,D,D,
3428,D,,A,A,D,,D,A,,A,D,A,A,,A,A
3432,A,A,D,A,D,,A,,,A,F,A,A,A,D,A
3433,D,D,C,D,D,A,A,F,,,D,A,,A,A,D
3435,A,A,,D,F,,A,,D,A,,A,,,D,C
3436,F,A,D,,A,,D,A,D,A,,,A,A,A,D
3437,,D,D,D,D,A,,A,A,A,A,,D,A,D,A
3438,A,A,A,,A,A,D,A,,A,A,A,D,,,A
3440,A,A,A,C,A,A,,A,A,A,D,A,,A,,A
3441,D,D,F,A,,A,,A,,,A,A,A,D,A,
3442,A,D,,A,,A,A,D,D,,D,A,D,A,,D
3443,A,A,D,F,A,D,C,A,A,,A,,A,A,,A
3445,F,A,,D,F,D,D,A,D,,A,A,D,D,,
3447,D,D,A,A,,A,,A,A,A,D,D,D,A,A,A
3448,D,A,F,D,,D,A,A,,,A,D,A,D,A,A
3450,A,A,A,D,C,A,A,A,,A,D,,F,D,A,A
3451,D,A,A,A,F,,A,F,A,D,D,A,A,A,,D
3453,D,A,A,A,A,A,C,F,A,F,,D,A,,F,F
3454,D,,A,C,A,A,A,A,,A,C,D,A,A,A,D
3455,C,A,D,D,A,A,D,D,A,D,F,A,D,A,D,A
3456,A,F,,F,A,,D,F,A,A,A,A,D,A,A,D
3457,,A,A,A,D,A,D,A,D,,,A,D,,A,A
3458,A,,F,F,D,D,A,C,A,,,,A,D,D,A
3461,,F,D,F,D,,D,D,,,A,D,A,A,A,A
3462,D,A,D,,F,D,A,A,A,,D,D,A,,A,D
3463,,A,A,A,A,F,A,,A,A,A,A,,A,F,C
3464,,,A,A,A,A,A,A,D,A,A,A,A,A,D,D
3465,D,D,C,A,D,A,A,A,D,A,A,F,A,F,A,F
3468,A,A,A,F,D,D,A,,A,A,D,,A,A,,A
3471,,,D,,A,,D,A,A,A,,,A,A,A,A
3472,A,A,,A,A,D,D,A,D,,,A,A,D,A,A
3473,D,A,F,D,,F,F,D,D,D,A,A,,D,A,A
3478,,A,,A,D,D,,D,A,D,A,A,A,A,,
3479,A,F,A,D,,,D,A,A,A,A,,D,A,A,A
3480,A,A,,A,D,,F,A,A,A,A,A,,D,A,A
3482,A,F,A,D,A,F,F,,A,D,A,,A,F,D,A
3483,D,D,F,D,A,D,D,D,D,,D,A,A,A,A,A
3485,C,A,D,D,A,,A,A,D,D,A,A,,D,F,A
3486,D,A,A,A,A,A,D,D,F,A,A,A,,,D,F
3487,,,,A,F,A,,A,A,A,,,A,A,D,
3488,A,A,D,A,,,C,D,D,A,D,,A,A,A,A
3489,D,D,D,A,D,D,A,D,A,F,D,A,,C,C,A
3491,D,A,D,,A,D,D,F,,D,A,A,A,A,,A
3492,,,,D,D,A,,A,A,A,A,A,,,A,A
3493,D,D,D,,D,,,A,,A,D,A,A,D,A,D
3495,D,A,,A,,A,,A,A,A,C,D,A,C,D,D
3496,F,,,A,A,F,,D,A,A,A,A,,A,A,
3499,A,,A,A,,A,A,D,A,A,A,A,F,,,A
3500,D,A,D,,A,A,A,D,F,C,A,A,A,A,,A
3502,,F,A,A,,D,,D,A,F,,A,D,A,D,
3503,,A,A,,D,A,D,D,A,A,A,D,C,,A,A
3504,A,,A,D,A,A,D,D,D,F,,,F,A,D,C
3505,D,A,A,D,D,F,D,F,A,F,A,A,D,,F,D
3507,,A,A,,,A,A,A,,A,A,D,,A,A,F
3508,A,D,A,D,,D,D,A,C,A,,D,D,D,A,D
3509,F,A,A,A,D,D,,,D,,,A,A,,D,A
3511,D,,A,D,D,A,A,F,D,C,A,,A,D,F,D
3512,F,F,C,A,D,D,A,D,,A,A,D,D,A,A,
3514,D,C,C,D,A,,A,A,,F,A,A,D,A,A,A
3515,A,A,D,D,A,A,A,,,D,A,A,F,A,D,
3516,A,A,,D,D,,A,A,D,F,F,,F,A,A,D
3517,D,D,A,D,A,A,A,,,A,F,D,A,A,D,
3518,D,A,D,,,,D,A,D,,F,,A,D,D,A
3519,A,,A,F,,A,D,D,,A,A,A,F,A,A,D
3522,D,F,D,C,,F,A,A,A,F,,,A,D,A,A
3523,A,A,A,A,A,F,A,A,A,A,F,A,D,A,D,F
3524,A,,F,D,F,D,A,A,D,,A,,A,C,D,C
3527,,D,A,A,A,A,A,A,,D,A,A,,,A,D
3528,D,,,F,A,A,A,A,D,D,A,A,D,A,D,D
3531,,A,A,A,A,A,,D,A,A,A,D,,A,,A
3532,A,F,,A,A,A,D,A,A,A,D,F,D,A,A,A
3533,A,F,,D,A,A,D,A,,F,A,,,D,A,A
3534,D,A,A,A,,A,,A,A,,A,A,,D,,D
3537,F,,A,A,A,,D,F,F,,A,D,,A,D,D
3538,A,D,D,,A,A,D,A,A,A,A,A,A,A,F,
3539,,F,A,,D,A,A,A,F,F,A,A,C,F,A,A
3540,F,A,A,,D,A,A,A,A,D,A,,A,F,A,D
3542,A,A,D,A,,A,,A,F,A,D,A,D,,D,D
3543,D,D,A,A,,A,D,,D,D,A,A,D,A,,D
3544,D,D,D,A,A,D,A,D,,A,,D,,,D,A
3546,A,A,F,A,A,A,A,D,,D,A,A,D,D,F,F
3547,F,D,A,A,F,F,,A,D,D,A,A,,A,D,A
3548,D,,A,A,A,,A,A,F,,A,A,,A,A,A
3551,D,,D,A,D,C,A,D,F,F,A,A,,A,A,A
3554,A,A,A,A,A,,A,,A,A,A,A,C,D,F,D
3557,,A,,D,A,D,A,A,A,D,A,D,A,A,D,
3558,A,D,A,D,D,A,,,A,A,D,D,A,D,D,
3559,A,D,A,A,D,D,D,F,A,,D,D,A,D,A,D
3560,D,D,A,A,A,A,D,,A,,D,,D,F,D,F
3561,A,A,A,C,A,A,,D,,A,A,A,,A,,A
3562,A,A,,D,D,F,A,,A,D,D,A,A,A,D,A
3565,A,A,A,D,A,A,D,D,,A,D,,A,D,,D
3568,A,A,A,F,,D,A,F,A,D,D,F,D,A,F,D
3570,,A,A,F,,A,,A,D,D,A,A,D,,A,A
3571,A,,A,,,D,A,D,C,A,A,,A,A,A,A
3572,D,A,D,A,D,F,D,D,D,D,F,A,D,A,A,A
3579,F,D,A,A,A,A,A,A,D,D,D,A,A,A,D,F
3581,A,D,A,A,A,A,D,A,F,A,A,D,,,A,
3583,A,A,D,A,D,D,A,D,,,A,A,A,A,A,A
3584,D,A,A,,D,,,A,F,A,D,A,,D,D,A
3586,F,A,,A,,,A,,A,D,A,A,,,D,D
3588,A,,A,D,D,,A,A,A,,D,D,A,D,A,A
3590,,D,D,A,A,A,,A,,D,D,A,D,,,
3591,A,A,A,A,A,A,A,A,F,A,A,,,,D,D
3592,D,A,D,D,,D,,A,A,,,D,D,F,A,A
3593,A,,A,A,D,A,D,D,A,,A,A,,,D,A
3594,A,A,A,A,A,A,A,F,A,A,A,D,D,D,A,A
3595,A,A,,A,A,F,A,D,F,A,D,A,D,A,A,
3596,A,F,A,A,,A,F,A,C,A,A,,A,A,,D
3597,D,,A,A,D,A,F,F,A,D,D,A,D,A,F,A
3598,,F,A,,D,,A,A,A,A,F,A,A,A,A,A
3600,A,A,A,,A,A,,D,D,A,,A,A,A,A,F
3601,D,A,,,D,A,D,,D,A,A,A,A,A,D,D
3604,A,,,D,A,F,A,A,F,A,D,A,A,A,,A
3605,A,A,D,D,D,A,,A,A,A,A,,,,D,D
3606,F,A,D,,D,A,D,A,,A,F,A,F,A,A,
3607,A,D,D,A,F,A,A,A,,,,A,F,,A,
3609,A,D,,,A,F,A,A,D,A,D,D,D,A,,D
3612,A,D,D,,D,C,F,D,D,A,D,A,A,,A,D
3613,,D,A,A,F,D,,D,,D,A,D,D,F,C,D
3614,,A,D,D,,A,,A,A,A,D,A,A,A,,
3617,D,,,A,D,A,D,F,A,A,A,A,A,D,A,A
3621,A,D,A,D,,,,F,,D,D,F,D,A,D,A
3624,A,,A,,D,,D,A,A,D,,D,A,D,F,
3626,D,D,,D,,D,D,D,A,A,D,A,D,A,A,A
3627,A,A,D,D,F,A,A,,,A,A,D,D,F,A,D
3628,F,A,A,,,A,A,A,,A,A,,A,A,A,A
3629,D,A,D,A,F,A,,A,A,,,,D,D,D,
3630,,A,A,A,A,A,A,D,,A,F,D,D,F,A,D
3634,F,D,A,D,A,,A,A,F,F,D,A,,A,A,A
3635,F,D,A,D,,A,A,D,A,A,A,A,,A,A,A
3636,A,,,A,A,D,A,,,D,A,D,D,A,A,A
3637,,A,A,A,,,C,D,A,A,,D,A,A,A,A
3639,A,A,C,D,F,D,D,A,D,A,,,A,A,A,A
3640,A,,F,A,,D,F,A,D,,D,,,,C,D
3641,A,,A,D,,D,C,D,D,A,,A,A,,D,
3642,A,A,D,A,A,D,A,A,A,,D,,A,A,A,D
3643,A,D,,A,,A,A,F,F,A,A,A,F,D,,D
3644,,F,A,A,,A,A,A,A,A,F,A,D,D,D,A
3646,,A,D,D,F,D,A,F,A,,D,D,F,D,F,A
3647,D,A,D,D,F,D,,D,,F,A,A,,D,F,
3648,A,D,A,D,,A,,,A,A,A,A,A,,C,A
3649,D,A,A,A,C,D,D,,A,A,D,F,A,C,,A
3650,A,D,A,F,D,D,A,,A,D,A,A,F,A,D,D
3653,D,F,A,D,A,A,D,D,D,D,A,F,A,F,D,A
3654,D,,D,A,A,A,A,A,F,,A,F,A,D,A,F
3656,,F,D,,D,F,A,A,A,F,,,A,,A,A
3659,D,A,A,F,A,,D,,,A,A,A,A,F,A,A
3661,,D,A,D,A,A,A,,A,,A,,A,A,A,
3662,D,A,F,F,A,A,F,,,D,D,A,C,A,D,A
3663,D,A,,A,A,A,D,,A,D,A,D,,,D,A
3666,A,A,D,A,,,A,A,D,,,D,A,A,A,
3668,A,A,A,,A,F,,D,A,A,D,A,F,A,D,A
3672,D,D,A,A,D,,A,A,D,D,F,A,A,D,A,
3673,A,A,D,A,A,,,,A,,D,D,A,A,A,A
3674,A,F,D,,A,A,F,D,A,A,D,A,A,A,,D
3677,A,D,A,D,,C,A,D,D,A,A,D,A,D,,
3680,F,A,A,D,A,A,A,D,D,D,,F,D,A,D,A
3681,D,,A,A,F,A,,D,C,A,D,D,A,A,,F
3684,A,A,,D,F,A,A,A,D,F,A,F,A,A,A,A
3685,D,F,A,A,A,D,A,F,A,D,A,A,D,A,A,F
3686,D,A,D,D,D,D,D,A,D,,A,A,,,,
3687,,A,A,,A,A,,,,,A,,,A,A,D
3688,A,A,A,A,A,D,F,D,,A,A,D,A,C,A,
3689,A,A,,D,A,A,,F,A,,F,A,C,D,D,
3690,D,D,A,A,,,A,,D,D,A,F,D,,A,D
3691,A,D,D,,A,,A,D,F,A,A,A,D,A,,
3693,,D,A,D,,,A,A,A,,A,D,F,A,A,D
3694,D,D,A,D,,A,D,A,A,D,D,D,A,,F,A
3695,F,A,A,C,A,D,D,,D,A,D,A,,A,A,A
3697,,A,D,D,A,,A,A,,C,,A,,A,D,A
3701,D,C,F,A,C,D,A,A,A,D,,A,A,A,F,C
3703,A,A,A,A,A,D,A,A,A,F,D,D,F,D,F,A
3706,D,A,A,A,,A,A,,D,A,D,A,A,F,D,A
3707,F,D,A,A,D,,D,,D,D,,,D,,D,D
3709,D,A,D,A,A,A,A,,A,D,D,,D,A,F,F
3710,D,F,A,,,A,D,C,A,D,A,D,D,,A,A
3711,D,F,A,D,A,A,A,D,,D,,D,A,A,A,D
3712,A,,D,A,,,,A,F,A,A,A,D,,A,
3714,A,A,D,D,A,,D,D,,,D,D,,D,D,
3715,D,D,A,A,,A,,A,D,A,A,A,F,D,D,A
3716,A,D,A,A,A,D,A,D,A,D,A,A,A,A,A,D
3718,D,D,F,D,D,D,D,F,,A,A,A,,A,F,A
3721,A,D,A,A,A,,,A,,F,D,A,A,A,,
3722,A,A,D,,C,A,A,A,A,A,,F,,A,,A
3723,D,,D,A,A,D,A,A,D,D,A,A,,D,A,
3724,A,D,A,C,D,D,,D,D,A,A,A,A,,A,A
3726,,,,A,C,,C,A,A,,A,,D,D,,
3728,,A,A,A,,A,A,A,D,,A,A,A,A,D,A
3729,D,A,A,,D,A,A,,,A,,D,A,,A,A
3730,D,A,D,A,A,A,D,A,,A,D,D,,A,D,F
3731,A,A,F,,A,C,D,A,,F,A,D,A,D,A,A
3732,D,F,A,A,A,F,A,A,A,,A,,D,D,A,D
3735,D,,,D,,A,A,C,,D,A,A,A,A,D,A
3736,,F,,,A,D,D,D,,A,A,,,F,D,A
3741,D,A,A,D,,,F,D,A,F,A,A,D,A,A,A
3743,F,,F,A,,,A,,D,,F,F,,A,A,D
3744,A,A,D,D,A,D,F,D,A,A,A,D,D,A,F,A
3748,D,F,A,D,A,A,,A,D,A,D,D,,,A,
3749,A,A,,A,F,,D,D,A,,A,A,A,D,D,
3751,A,F,D,,A,D,A,,D,A,D,C,A,D,,A
3752,D,,A,C,,A,A,A,A,A,A,,,A,A,D
3753,,A,A,F,A,A,A,D,A,A,A,,,A,D,D
3754,A,F,,,A,A,,D,,D,,D,A,A,A,A
3755,D,A,D,,D,A,F,D,F,A,D,A,D,D,F,A
3757,D,A,D,F,D,A,C,D,,A,D,A,A,A,D,A
3758,A,F,D,,,F,,D,D,A,A,D,A,A,D,
3759,A,A,D,D,A,A,,D,A,A,,,A,,D,A
3760,F,D,C,A,,,D,A,A,A,D,D,A,,D,A
3761,D,A,A,A,A,A,A,F,A,,D,D,A,D,,C
3762,A,F,A,A,A,,,,D,A,D,A,A,C,A,A
3764,,D,,,A,F,A,A,,A,,D,D,,F,D
3765,C,A,A,A,C,,A,,D,D,A,,D,,A,A
3766,A,A,A,A,A,D,A,A,D,A,A,A,A,A,D,A
3767,,A,,A,A,A,A,F,A,A,,,D,D,D,C
3768,A,A,,,D,A,A,D,D,A,D,A,D,,A,
3769,C,D,,A,,,D,,A,A,A,A,C,A,A,
3771,A,F,A,A,D,A,A,,A,D,D,A,A,D,D,A
3775,D,A,D,,A,F,,A,A,D,A,,A,F,A,A
3776,A,,A,A,A,A,A,A,,D,A,A,A,D,D,
3777,A,F,D,,,F,,,A,D,A,A,A,,,A
3779,D,A,A,A,,D,D,A,A,A,A,F,,D,D,A
3782,A,,F,A,D,A,A,,A,A,A,D,,,D,C
3783,A,F,A,D,D,A,F,,A,D,A,,C,D,A,
3786,A,A,,,,,A,D,A,A,D,A,A,F,D,
3787,,D,,D,D,,A,A,F,,,D,A,A,A,F
3788,A,A,D,,A,A,A,,D,A,A,A,D,,A,A
3790,D,A,A,D,D,A,A,A,D,F,D,A,,A,D,A
3791,,,D,A,D,,A,A,A,,D,F,A,D,A,F
3792,D,D,D,A,F,A,A,F,F,D,D,A,D,D,,D
3793,D,A,,D,,A,F,D,C,,,D,D,A,D,A
3794,D,A,A,F,A,,A,A,A,D,A,A,D,A,,A
3796,D,F,,A,,D,,A,A,D,A,F,F,D,A,D
3797,D,A,,D,D,A,,D,D,,F,A,A,A,D,A
3798,A,A,A,A,D,D,A,,D,A,D,A,A,A,A,A
3799,D,,D,A,D,A,,D,A,A,A,A,A,A,D,A
3800,A,D,A,A,,A,D,A,A,A,A,,A,A,A,D
3801,A,D,D,D,A,D,A,C,,A,,A,D,,A,D
3803,A,,F,A,,A,A,,A,A,F,,A,A,A,D
3806,D,A,,A,D,A,A,D,D,A,A,D,D,D,D,D
3808,A,A,D,D,A,D,A,D,A,,F,A,D,,,D
3812,A,,,D,A,A,A,D,D,A,A,,D,,A,D
3817,F,,D,,D,A,A,A,A,A,A,A,A,F,,A
3818,,C,D,A,A,A,A,D,A,D,F,A,D,A,F,
3820,D,D,A,A,D,A,,D,A,C,A,D,D,A,A,
3821,A,A,A,A,D,A,A,A,,,A,D,D,D,A,A
3822,D,D,D,D,A,A,A,D,A,A,A,F,,D,A,
3824,A,A,A,A,D,,D,A,,D,A,F,,A,,
3826,,A,A,,D,A,D,,A,A,A,A,D,A,A,A
3831,F,A,A,A,D,A,A,A,A,D,D,A,,F,A,A
3833,A,D,D,F,A,,D,A,,D,D,A,F,A,D,A
3835,D,A,A,A,D,D,,D,A,A,D,A,A,A,A,
3836,,D,,A,,A,A,A,F,A,D,,,,D,A
3839,D,D,,A,D,A,D,D,D,,D,A,F,A,,D
3840,,A,A,D,C,A,A,A,A,A,D,D,A,A,A,A
3841,,A,A,F,,,A,A,F,A,F,A,A,A,A,D
3842,D,A,A,A,A,A,A,D,A,,,A,,A,,A
3843,D,A,A,A,D,,D,,A,D,D,D,A,A,A,A
3844,,A,,,A,,,,A,A,A,,,D,A,D
3845,A,,,,F,A,A,A,A,D,A,,A,,C,A
3846,,A,A,,F,D,A,A,,,D,D,A,D,D,A
3847,,,D,D,,A,D,,D,A,A,A,A,A,A,A
3849,A,A,,D,A,A,F,A,F,A,D,D,,,D,A
3851,A,D,,D,C,,D,A,F,D,A,A,D,,A,
3852,,A,A,D,D,A,D,D,D,,A,A,D,A,A,D
3854,A,D,,A,D,,A,,A,A,A,A,A,A,A,A
3855,D,A,,D,D,D,,F,,D,D,A,F,A,D,
3856,D,,,A,A,A,A,A,A,A,A,A,A,A,C,D
3857,C,,A,A,A,D,A,F,A,,A,A,D,D,A,F
3858,A,A,A,D,D,,A,A,A,A,D,D,,A,A,
3860,,,A,D,D,A,,C,,A,A,A,F,,D,D
3861,A,A,D,,D,A,,A,A,,D,D,,A,F,A
3862,A,A,,D,A,A,A,A,,A,D,A,D,,D,A
3863,,A,,A,,A,D,A,D,A,F,A,A,A,D,D
3867,D,A,A,A,A,,A,D,D,A,,D,D,D,D,D
3869,F,A,A,,F,,D,A,A,D,A,A,A,,D,A
3870,A,A,,D,A,D,D,D,A,A,F,A,A,A,A,D
3871,D,A,,A,D,A,A,D,D,A,D,D,D,,,A
3872,D,A,F,A,D,D,A,D,,D,,A,F,,A,A
3873,A,D,,D,D,A,A,D,D,,D,A,A,A,A,
3874,A,A,A,D,C,D,A,,F,,A,A,A,A,D,
3876,F,D,A,D,A,A,A,,A,D,A,,D,D,D,A
3877,D,A,A,A,,A,,,D,A,D,D,A,,A,A
3879,A,A,A,A,,A,A,A,,D,D,A,D,,D,
3880,,D,A,D,A,,,A,F,,,A,A,A,A,
3881,A,D,A,A,F,D,A,A,F,A,,A,D,D,,A
3882,,,,D,,D,A,D,A,D,F,,A,A,,A
3884,D,A,A,C,A,D,D,A,A,A,A,,A,D,A,D
3886,,D,A,,A,A,D,A,A,,D,F,A,A,D,
3887,A,,F,A,,A,A,A,,D,,A,A,A,F,A
3890,D,A,D,,D,A,A,F,F,A,A,D,D,C,D,
3891,D,D,,A,D,A,D,,D,C,A,F,,D,D,D
3894,A,A,D,,D,A,A,F,D,A,D,A,A,A,F,D
3896,D,D,D,,A,D,A,,A,A,A,D,,A,D,A
3898,D,,D,,D,A,,A,D,F,D,D,F,A,D,
3899,D,A,F,D,A,A,C,A,F,A,A,F,A,F,,A
3901,D,A,F,A,C,A,D,,A,D,A,D,A,A,D,A
3903,A,C,D,D,D,A,,F,D,A,A,A,A,,D,
3907,A,D,A,A,F,A,A,,A,A,D,,F,A,D,A
3910,A,D,A,A,F,,A,,D,A,,A,,,A,A
3911,D,,D,A,D,,,,A,A,,D,D,D,D,A
3913,A,D,D,D,C,F,,D,A,,A,D,A,A,,D
3914,A,D,,A,A,A,D,D,A,,F,,A,A,D,
3915,D,D,A,D,D,,A,D,D,A,,A,,,,A
3918,D,D,A,F,A,A,A,F,D,D,A,D,D,A,A,D
3919,A,A,A,D,F,F,D,F,,A,C,,D,A,,A
3922,A,A,A,F,D,A,F,A,D,D,,C,D,A,A,D
3923,D,D,A,F,D,A,A,A,D,A,A,A,A,A,D,A
3924,F,A,A,A,A,A,A,A,A,,A,,A,A,D,A
3925,A,A,D,A,,A,F,A,,A,D,A,D,D,,
3926,A,,A,F,A,F,A,,,A,A,A,F,D,A,A
3927,A,,A,A,A,,D,A,,A,A,D,D,D,,D
3928,A,A,A,F,A,A,,A,,,F,D,A,A,A,
3933,D,,,A,A,A,A,,A,D,A,D,D,A,D,D
3935,A,D,D,A,D,A,A,,A,A,,F,D,,A,D
3936,,A,A,,,D,A,A,,A,A,A,A,D,D,D
3939,A,A,,,A,D,A,A,A,A,D,A,D,A,A,F
3941,A,A,F,A,A,,A,D,A,A,,A,A,A,D,F
3942,A,D,,F,,A,A,A,A,D,A,A,,A,D,A
3944,D,,F,C,D,A,A,A,,A,D,D,A,D,F,
3945,,,A,A,D,A,A,D,D,A,,A,F,D,A,D
3946,D,A,A,A,A,,A,A,,D,F,A,,D,D,
3949,A,A,A,A,A,D,,A,A,A,A,,A,,A,D
3950,A,,A,A,A,A,D,A,A,D,D,,A,A,,D
3951,A,A,D,A,F,F,A,A,A,A,A,D,,D,A,
3952,D,A,D,D,D,F,A,D,A,D,D,A,A,F,A,A
3954,A,A,A,A,F,D,A,A,,C,A,D,A,,A,D
3956,D,A,,A,A,A,A,D,,A,,A,,A,,A
3959,D,A,A,A,,D,D,A,D,D,D,D,D,A,,D
3960,,A,F,C,,F,,A,D,,D,A,A,F,A,D
3961,,A,C,,,D,A,A,A,A,A,A,A,D,D,D
3962,A,A,A,A,A,A,F,A,D,D,A,D,A,A,D,D
3964,D,A,A,D,A,D,A,A,,A,F,D,D,F,A,C
3965,A,A,,A,A,F,A,,A,A,D,D,F,,A,A
3968,,A,D,C,A,D,D,A,A,C,,F,A,A,D,D
3969,D,D,D,D,,C,D,A,D,A,D,,C,A,,A
3970,A,,A,F,,,,A,,A,A,F,A,A,A,A
3971,A,A,,D,A,D,A,A,F,A,,,A,A,D,C
3974,A,,C,A,A,A,F,D,A,C,A,,A,F,A,A
3975,,A,A,A,D,A,A,D,A,D,A,A,A,F,D,D
3977,A,A,A,,,A,,A,A,A,D,,,A,,F
3979,,,D,A,,A,A,D,,A,A,A,,A,A,A
3980,D,D,D,D,A,,D,D,,A,D,,A,A,D,A
3982,,,A,,C,A,A,A,A,,D,A,D,D,A,A
3983,A,A,A,,A,,A,C,,A,,A,A,A,A,A
3984,A,F,C,,C,A,,,,,A,A,A,D,A,A
3985,,,A,A,D,D,A,D,A,A,A,A,A,,A,D
3986,A,D,A,A,A,,,F,A,A,,D,D,C,D,A
3987,F,,A,D,A,D,D,,D,,A,D,,D,C,
3988,,A,D,C,D,,A,D,C,A,F,A,D,,D,A
3989,A,D,D,A,A,,A,,,D,,D,,F,D,D
3990,A,A,A,A,A,A,F,D,A,A,A,,A,A,,A
3993,A,A,D,D,D,,D,A,A,D,,A,A,A,A,
3994,A,A,,,D,A,D,,A,,F,,A,,A,A
3995,D,A,D,D,A,D,A,D,A,A,,D,D,A,A,A
3996,D,,A,A,,A,D,A,F,,,A,A,D,,
3998,,A,A,,D,,A,A,A,A,A,D,F,D,A,A
